Company,Job Title,,Location,First Stage,Second Stage,Third Stage,Fourth Stage,References Handed,Date Applied,Notes,Updated At,Status
Apptricity Corporation,Data Integration Analyst,,Irving,,,,,,5/25/2020,,05/29/2020,Rejected
Boss Flight Entertainment,Data Analyst,,Austin,,,,,,5/25/2020,,,Rejected
Lending Tree (Quotient),SEO Analyst,,Seattle,,,,,,5/25/2020,,,Rejected
Tubular Labs,Analyst - Social Video,,Los Angeles,Hiring Manager Interview,,,,,5/23/2020,,06/08/2020,Rejected
Reliant Technology,,,Dallas,,,,,,5/23/2020,,,Rejected
Fishtown Analytics,Analytics Engineer,,Remote,,,,,,5/22/2020,,06/01/2020,Rejected
Cornershop,Data Analyst,,Dallas,,,,,,5/22/2020,,,Rejected
CarOffer,Financial Data Analyst,,Plano,,,,,,5/21/2020,,,Rejected
Teachable,Risk Analyst,,Raleigh,,,,,,5/21/2020,,,Rejected
KeepTruckin,Data Analyst,,San Francisco,,,,,,5/11/2020,,06/04/2020,Rejected
Abeo Management,Data Analyst,,Dallas,,,,,,5/11/2020,,,Rejected
PepsiCo,LD&T Analyst,,Plano,,,,,,5/11/2020,,,Rejected
Match,Data Analyst (Product Analytics),,Dallas,,,,,,5/11/2020,,05/12/2020,Rejected
Berry Appleman & Leiden,Reporting Analyst II,,Richardson,,,,,,5/7/2020,,,Rejected
Behavioral Health,Revenue Data Analyst,,Dallas,,,,,,5/6/2020,,,Rejected
Assembly,,,New York City,,,,,,5/6/2020,,,Rejected
Sondermind,Data Analyst,,Denver,,,,,,5/5/2020,,,Rejected
Convercent,,,Denver,,,,,,5/5/2020,,05/05/2020,Rejected
AMP Robotics,Business Intelligence Analyst,,Denver,,,,,,5/5/2020,,,Rejected
Advancial Federal Credit Union,Marketing Data Analyst,,Dallas,Hiring Manager Interview,,,,,5/5/2020,,05/15/2020,Rejected
Koddi,Digital Marketing Analyst,,Fort Worth,,,,,,5/5/2020,,,Rejected
Nerdwallet,Data Analyst (Product),,San Francisco,,,,,,5/5/2020,,05/14/2020,Rejected
Vertebrae,Data & Analytics,,Austin,,,,,,5/4/2020,,,Rejected
Doximity,Data Analyst,,Remote,Recruiter Screen,Assessment ,,,,5/4/2020,,06/11/2020,Rejected
Saturn Cloud,Junior Data Scientist,,New York,,,,,,5/1/2020,,,
Archibus-Serraview,,,Remote,,,,,,4/26/2020,,05/05/2020,Rejected
TJ Inspections,Data Analyst,,Richardson,Recruiter Screen,Hiring Manager Interview,,,,4/23/2020,,05/05/2020,Rejected
Crunchbase,Data Scientist,,San Francisco,,,,,,4/23/2020,,06/24/2020,Rejected
Twitch,,,San Francisco,,,,,,4/23/2020,,,Rejected
Fidelity,Investment Data Analyst,,Westlake,,,,,,4/23/2020,,6/11/2020,Rejected
MediaMath,Data Analyst,,San Francisco,,,,,,4/23/2020,,,Rejected
Blend,Product Analyst,,San Francisco,,,,,,4/20/2020,,5/21/2020,Rejected
Crisp,Data Scientist,,Remote,,,,,,4/20/2020,,,Rejected
Pathrise,Associate Marketing Analyst,,Remote,,,,,,4/20/2020,,,Rejected
Bitcon,Market Intelligence Analyst,,Remote,,,,,,4/18/2020,,05/07/2020,Rejected
Imaginuity,Marketing Insights Analyst,,Dallas,,,,,,4/18/2020,,,Rejected
CicleCI,Data Analyst for Core Product,,Remote,Recruiter Screen,,,,,4/17/2020,,05/06/2020,Rejected
Energy GPS,Data Analyst,,Denver,,,,,,4/17/2020,ZipRecruiter,,Rejected
Health IQ,Business Intelligence Analyst,,Mountain View,,,,,,4/15/2020,LinkedIn,,Rejected
Zenimax Media,Data Analyst,,Dallas,,,,,,4/15/2020,,,Rejected
RxRevu,Data Analyst,,Denver,,,,,,4/15/2020,,,Rejected
JumpCloud,Data Analyst,,Remote,,,,,,4/15/2020,,,Rejected
Federal Reserve Bank of Dallas,Business Operations Analyst II,,Dallas,,,,,,4/15/2020,,,Rejected
Financial Additions,Data Analyst,,Dallas,,,,,,4/15/2020,,,Rejected
RealPage,Business Analyst,,Richardson,,,,,,4/13/2020,,,Rejected
Rabbu,Data & Ops Analyst,,Remote,,,,,,4/3/2020,AngelList,04/26/2020,Rejected
GAINSCO,Claims Data Analyst,,Dallas,Recruiter Screen,Hiring Manager Interview,,,,4/3/2020,,,Rejected
Santander Consumer USA,Compliance Data Analyst II,,Dallas,,,,,,4/3/2020,,,Rejected
PeopleFun,Game Data Analyst,,Richardson,,,,,,4/2/2020,,,Rejected
Loom,Product Data Science,,Remote,,,,,,3/30/2020,,06/04/2020,Rejected
CircleCI,Data Analyst for Product Growth,,Remote,,,,,,3/30/2020,,,Rejected
The Richards Group,Intelligence Data Analyst,,Dallas,,,,,,3/28/2020,,,Rejected
Bluecore,Data Insights Analyst,,New York City,,,,,,3/28/2020,,04/24/2020,Rejected
Intricately,Business Data Analyst,,Remote,,,,,,3/23/2020,,,Rejected
UT Southwestern,"Population Science Data Analyst I, II, III",,Dallas,,,,,,3/23/2020,,,Rejected
