Company,Job Title,,Location,First Stage,Second Stage,Third Stage,Fourth Stage,References Handed,Date Applied,Notes,Updated At,Status
CarOffer,Data Analyst,,Plano,,,,,,1/15/2021,,,
"Techni-Tool, Inc.",Data Analyst,,Dallas County,,,,,,1/13/2021,,,
Spark Foundry,"Analyst, Media Analytics",,New York,,,,,,1/13/2021,,,
Associa,Data Analyst,,Richardson,,,,,,1/12/2021,,,
Bravely,Data Analyst,,Remote,,,,,,1/11/2021,,,
FLYR Labs,Data Analyst,,San Francisco,,,,,,1/11/2021,,,
Canvas Medical,Data Analyst,,San Francisco,,,,,,1/11/2021,,,
Photomath,Strategy Analyst,,San Francisco,,,,,,1/10/2021,,,
Mosaic North America,Client Business Analyst,,Dallas,,,,,,1/10/2021,,,
Paycom,TSR Reporting Analyst,,Oklahoma City,,,,,,1/10/2021,,,
Tala,Business Intelligence Analyst,,Santa Monica,,,,,,1/8/2021,,,
Tala,Stategy Analyst,,Santa Monica,,,,,,1/8/2021,,,
rewardStyle,Data Analyst,,Dallas,,,,,,1/8/2021,,,
Wheeler Staffing Partners,Data Analyst,,Carrollton,,,,,,1/8/2021,,,
PCI,Business Analyst,,Norman,,,,,,1/7/2021,,,
Tronox,Marketing Analyst,,Oklahoma City,Hiring Manager,Hiring Manager,Hiring Manager,Hiring Manager,,1/7/2021,,,
Sefal Partners,Data Analyst,,Remote,,,,,,1/7/2021,,,
GoHealth,Data Analyst,,Chicago,,,,,,1/7/2021,,,
Interstate Batteries,Business Analyst,,Birmingham,,,,,,1/7/2021,,,
Clutter,Product Analyst,,Los Angeles,,,,,,1/7/2021,,,
USAA,Business Intelligence Analyst II,,San Antonio,,,,,,1/7/2021,,,
TE Connectivity,Data Analyst,,Remote,,,,,,1/7/2021,,,
MalwareBytes,"Data Analyst, Contractor",,Remote,,,,,,1/7/2021,,,
Truebill,Data Quality Analyst,,Washington D.C,,,,,,1/7/2021,,,
Neiman Marcus Group,Conumer Insights Analyst,,Dallas Fort-Worth Metroplex,,,,,,1/7/2021,,,
Vizient,"Analyst, Operations",,Irving,,,,,,12/29/2020,,,
TIME,Data Analyst,,New York,,,,,,12/29/2020,,,
Newfront Insurance,Strategic Data Analyst,,Remote,,,,,,12/28/2020,,,
Harnham,Data Analyst - Fraud,,San Francisco,,,,,,12/28/2020,,,
National Security Agency,Data Scientst,,Washington D.C,,,,,,12/28/2020,,,
Blue Bottle Coffee,Data Analyst,,Oakland,Screen,,,,,12/28/2020,,12/29/2020,In Progress
Fisher Investments,Junior Business Information Analyst,,Plano,Screen,,,,,12/28/2020,,12/29/2020,In Progress
Ravl's Import Warehouse,Assistant Data Warehouse,,Dallas,,,,,,12/28/2020,,12/28/2020,In Progress
Twitch,Product Analyst - Interactive Studio,,San Francisco,,,,,,12/28/2020,,12/28/2020,In Progress
Chewy,Category Analyst,,Dania Beach,,,,,,12/28/2020,,12/28/2020,In Progress
Getty Images,Workforce Business Analyst,,New York City,,,,,,12/28/2020,,12/28/2020,In Progress
Udemy,Marketing Business Analytics Analyst,,San Francisco,Screen,,,,,12/24/2020,,12/28/2020,In Progress
